points,region_1,variety,price_bins
91,Paso Robles,Syrah,$30-60
91,Santa Cruz Mountains,Syrah,$30-60
91,Paso Robles,Red Blend,$30-60
91,Edna Valley,Riesling,$15-30
91,Paso Robles,Cabernet Franc,$15-30
91,Napa Valley,Merlot,$60-100
91,Russian River Valley,Pinot Noir,$30-60
91,Willamette Valley,Pinot Noir,$30-60
88,Sonoma Valley,Syrah,$15-30
88,Santa Lucia Highlands,Chardonnay,$15-30
88,Arroyo Seco,Pinot Noir,$30-60
88,Sonoma Coast,Chardonnay,$30-60
88,Anderson Valley,Pinot Noir,$30-60
90,Napa Valley,Cabernet Sauvignon,$30-60
90,Nevada County,Cabernet Franc,$15-30
90,Paso Robles,G-S-M,$15-30
90,Arroyo Seco,Chardonnay,$15-30
90,Napa Valley,Cabernet Sauvignon,$15-30
90,Dry Creek Valley,Zinfandel,$30-60
90,Paso Robles,Red Blend,$30-60
90,Dry Creek Valley,Rhône-style Red Blend,$30-60
90,Napa Valley,Fumé Blanc,$15-30
90,Sonoma Coast,Chardonnay,$30-60
85,Finger Lakes,Pinot Noir,<$15
85,Cayuga Lake,Riesling,<$15
85,Napa Valley,Red Blend,$15-30
85,Finger Lakes,Gewürztraminer,$15-30
85,Willamette Valley,Pinot Noir,$15-30
85,Santa Barbara County,Syrah,$30-60
85,Diamond Mountain District,Cabernet Sauvignon,$60-100
85,Mendocino,Cabernet Sauvignon,$30-60
85,Napa Valley,Sangiovese,$30-60
85,Russian River Valley,Chardonnay,<$15
85,Finger Lakes,Chardonnay,$15-30
85,Sonoma Mountain,Merlot,$15-30
85,Willamette Valley,Pinot Noir,$30-60
85,Monticello,Bordeaux-style Red Blend,$15-30
85,Alexander Valley,Cabernet Sauvignon,$30-60
85,Willamette Valley,Pinot Noir,$15-30
85,Amador County,Zinfandel,$30-60
89,St. Helena,Petite Sirah,$30-60
89,Cole Ranch,Pinot Noir,$30-60
89,Willamette Valley,Pinot Noir,$30-60
89,Napa Valley,Red Blend,$30-60
89,Santa Maria Valley,Pinot Noir,$30-60
89,Sonoma County,Zinfandel,$15-30
89,Napa Valley,Cabernet Sauvignon,$15-30
89,Willamette Valley,Pinot Noir,$30-60
92,Santa Maria Valley,Pinot Noir,$30-60
92,Dundee Hills,Pinot Noir,$30-60
92,Arroyo Grande Valley,Pinot Noir,$30-60
92,Napa Valley,Cabernet Sauvignon,100-500
87,Paso Robles,Cabernet Sauvignon-Syrah,$30-60
87,Napa Valley,Cabernet Sauvignon,<$15
87,Napa Valley,Sangiovese,$15-30
87,Columbia Valley (WA),Chardonnay,<$15
87,Mendocino County,Zinfandel,$15-30
87,Napa Valley,Cabernet Sauvignon,$30-60
87,Napa Valley,Cabernet Sauvignon,$15-30
86,Finger Lakes,Vignoles,<$15
86,Knights Valley,White Blend,$15-30
86,Mendocino,Zinfandel,$30-60
86,Central Coast,Red Blend,$30-60
82,Dry Creek Valley,Zinfandel,$30-60
96,Russian River Valley,Chardonnay,$60-100
96,Russian River Valley,Chardonnay,$60-100
95,Diamond Mountain District,Cabernet Sauvignon,100-500
95,Dundee Hills,Pinot Noir,$30-60
88,Sonoma Valley,Cabernet Sauvignon,100-500
88,Mendocino County,Sauvignon Blanc,$15-30
88,Rutherford,Sauvignon Blanc,$15-30
88,Russian River Valley,Merlot,$30-60
88,Alexander Valley,Sauvignon Blanc,$15-30
88,Edna Valley,Pinot Noir,$15-30
87,Santa Ynez Valley,Sauvignon Blanc,<$15
85,California,Zinfandel,$15-30
85,California,Red Blend,<$15
85,Santa Barbara County,Syrah,$30-60
85,Finger Lakes,Gewürztraminer,$15-30
85,Finger Lakes,Cabernet Franc,$15-30
85,California,Cabernet Sauvignon,<$15
85,Finger Lakes,Riesling,<$15
89,Columbia Valley (WA),Merlot,$15-30
89,Walla Walla Valley (WA),Grenache Blanc,$15-30
89,California,White Blend,$15-30
89,New York,Rosé,$15-30
89,North Fork of Long Island,Sparkling Blend,$30-60
89,Wahluke Slope,Syrah,$30-60
89,Santa Ynez Valley,Sauvignon Blanc,$15-30
89,Templeton Gap District,Tempranillo,$15-30
89,Snipes Mountain,Riesling,$15-30
89,Santa Barbara County,Grenache Blanc,$15-30
89,Alexander Valley,Bordeaux-style Red Blend,$30-60
89,Walla Walla Valley (WA),Cabernet Sauvignon,$30-60
89,Long Island,Cabernet Franc,$30-60
88,Sonoma Valley,Zinfandel,$30-60
88,Paso Robles,Cabernet Sauvignon,$15-30
92,Carneros,Chardonnay,$30-60
92,Anderson Valley,Sparkling Blend,$15-30
92,Santa Maria Valley,Pinot Noir,$30-60
92,Ribbon Ridge,Pinot Noir,$30-60
92,Dundee Hills,Pinot Blanc,$15-30
92,Willamette Valley,Pinot Noir,$60-100
92,Rutherford,Cabernet Sauvignon,100-500
92,Napa Valley,Red Blend,$60-100
87,Red Mountain,Bordeaux-style Red Blend,$30-60
87,Sta. Rita Hills,Pinot Noir,$30-60
87,Sonoma County,Cabernet Sauvignon,<$15
87,Walla Walla Valley (WA),Sangiovese,$15-30
87,Red Mountain,Red Blend,$30-60
87,Finger Lakes,Chardonnay,<$15
87,El Dorado,Chardonnay,$15-30
87,Suisun Valley,Cabernet Franc,$15-30
87,Carneros,Pinot Noir,$15-30
87,Lodi,Verdelho,<$15
87,Russian River Valley,Sauvignon Blanc,$15-30
87,Wahluke Slope,Syrah,$15-30
87,Yakima Valley,Tempranillo,$15-30
91,Napa Valley,Red Blend,$60-100
91,Monterey County,Chardonnay,$30-60
91,Chiles Valley,Cabernet Sauvignon,$60-100
91,Sonoma Coast,Pinot Noir,$60-100
91,Russian River Valley,Pinot Noir,$30-60
91,Russian River Valley,Pinot Noir,$30-60
91,Calaveras County,Grenache,$30-60
91,Edna Valley,Marsanne,$30-60
91,Edna Valley,Grenache,$30-60
91,Willamette Valley,Pinot Noir,$30-60
91,Chehalem Mountains,Pinot Noir,$60-100
91,Horse Heaven Hills,Syrah,$30-60
91,Arroyo Grande Valley,Chardonnay,$30-60
91,Dundee Hills,Pinot Noir,$30-60
91,Russian River Valley,Pinot Noir,$30-60
91,Oregon,Sparkling Blend,$30-60
91,Willamette Valley,Pinot Noir,$30-60
91,Willamette Valley,Pinot Noir,$30-60
91,Paso Robles,Cabernet Sauvignon,$30-60
91,Walla Walla Valley (WA),Bordeaux-style Red Blend,$30-60
91,Napa Valley,Cabernet Sauvignon,100-500
91,Umpqua Valley,Pinot Noir,$30-60
93,Edna Valley,Pinot Noir,$30-60
93,Santa Maria Valley,Pinot Noir,$30-60
93,Santa Maria Valley,Pinot Noir,$30-60
93,Napa Valley,Cabernet Sauvignon,$60-100
93,Templeton Gap District,Red Blend,$30-60
93,Napa Valley,Cabernet Sauvignon,$60-100
93,Sonoma Coast,Chardonnay,$30-60
93,Ballard Canyon,Sangiovese,100-500
93,Green Valley,Pinot Noir,$60-100
93,Carneros,Chardonnay,$30-60
93,Sonoma Valley,Zinfandel,$30-60
93,Horse Heaven Hills,Cabernet Sauvignon,$60-100
93,Santa Maria Valley,Pinot Noir,$30-60
93,Sierra Foothills,White Blend,$15-30
93,Russian River Valley,Syrah-Grenache,$30-60
93,Russian River Valley,Syrah,$30-60
93,Sonoma Coast,Pinot Noir,$30-60
93,Napa Valley,Petite Sirah,$60-100
93,Sta. Rita Hills,Pinot Noir,$30-60
93,Paso Robles,Syrah,$60-100
93,Central Coast,Red Blend,$60-100
93,Napa Valley,Cabernet Sauvignon,$30-60
93,Howell Mountain,Cabernet Sauvignon,$60-100
89,Columbia Valley (WA),Chardonnay,$30-60
89,Yakima Valley,Syrah,$30-60
89,Yolo County,Albariño,$15-30
89,Finger Lakes,Rosé,$15-30
89,California,Rosé,<$15
89,Washington,White Blend,$15-30
89,Columbia Gorge (WA),Gewürztraminer,$15-30
89,Wahluke Slope,Merlot,$15-30
89,Santa Cruz Mountains,Pinot Noir,$30-60
89,Yakima Valley,Chardonnay,$15-30
89,North Coast,Chardonnay,$15-30
89,Paso Robles,Chardonnay,$15-30
89,Walla Walla Valley (WA),Malbec,$30-60
89,Columbia Valley (WA),Cabernet Sauvignon,$15-30
89,Paso Robles,Sangiovese,$30-60
87,Alexander Valley,Cabernet Sauvignon,$15-30
87,Oak Knoll District,Cabernet Sauvignon,$60-100
87,North Fork of Long Island,Cabernet Franc,$30-60
87,Rogue Valley,Grenache,$15-30
87,Rogue Valley,Viognier,$15-30
87,Chehalem Mountains,Grüner Veltliner,$15-30
87,Northern Sonoma,Sauvignon Blanc,$15-30
87,Carneros,Pinot Noir,$30-60
87,Paso Robles,G-S-M,$30-60
87,Russian River Valley,Chardonnay,$30-60
87,Calistoga,Merlot,$30-60
87,Edna Valley,Pinot Noir,$15-30
87,Idaho,Red Blend,$15-30
87,Idaho,Red Blend,$15-30
87,Idaho,Red Blend,$15-30
92,Russian River Valley,Pinot Noir,$60-100
92,Willamette Valley,Pinot Noir,$30-60
92,Dry Creek Valley,Zinfandel,$30-60
92,Santa Maria Valley,Chardonnay,$30-60
92,California,Pinot Gris,$15-30
92,Sonoma Coast,Chardonnay,$30-60
92,Paso Robles,Cabernet Sauvignon,$30-60
92,Willamette Valley,Pinot Noir,$30-60
92,Napa Valley,Cabernet Sauvignon,$60-100
92,Arroyo Seco,Grenache,$30-60
92,Mokelumne River,Zinfandel,$15-30
92,Dundee Hills,Pinot Noir,$60-100
90,Los Carneros,Chardonnay,$30-60
90,Walla Walla Valley (WA),Cabernet Sauvignon,$30-60
90,Mount Veeder,Cabernet Sauvignon,$60-100
90,Mendocino,Pinot Grigio,<$15
90,Rockpile,Cabernet Sauvignon,$60-100
90,Columbia Valley (WA),Riesling,$15-30
90,North Fork of Long Island,Riesling,$15-30
90,Walla Walla Valley (WA),Malbec,$15-30
90,Columbia Valley (WA),Cabernet Sauvignon,<$15
90,Napa Valley,Petite Sirah,$30-60
90,Long Island,Riesling,$15-30
90,Anderson Valley,Pinot Noir,$30-60
90,Carneros,Cabernet Sauvignon,$30-60
90,Carneros,Pinot Noir,$15-30
90,Yakima Valley,Chardonnay,$30-60
90,Columbia Valley (WA),Cabernet Sauvignon,$30-60
90,Columbia Valley (WA),Syrah,$30-60
90,Horse Heaven Hills,Cabernet Sauvignon,$15-30
90,Sonoma Coast,Pinot Noir,$60-100
90,Santa Cruz Mountains,Chardonnay,$15-30
91,Red Mountain,Cabernet Sauvignon,$60-100
91,Santa Barbara County,Red Blend,$30-60
91,Livermore Valley,Malbec,$30-60
91,Sonoma County,Cabernet Franc,$60-100
91,Columbia Valley (WA),Bordeaux-style Red Blend,$15-30
91,Dry Creek Valley,Zinfandel,$30-60
91,Russian River Valley,Sauvignon Blanc,$15-30
91,Russian River Valley,Pinot Noir,$30-60
91,Russian River Valley,Pinot Noir,$30-60
85,Texas,Viognier,<$15
85,Oregon,Pinot Noir,<$15
85,California,Cabernet Sauvignon,$15-30
85,Paso Robles,Tempranillo,$30-60
85,Dry Creek Valley,Zinfandel,$30-60
87,Sonoma Coast,Pinot Noir,$15-30
87,Finger Lakes,Cabernet Franc,$60-100
87,Sonoma Coast,Pinot Noir,$30-60
87,Edna Valley,Chardonnay,$15-30
87,Anderson Valley,Gewürztraminer,$15-30
87,Napa Valley,Zinfandel,$30-60
87,Santa Maria Valley,Pinot Noir,$30-60
87,Sonoma Coast,Pinot Noir,$30-60
87,Temecula Valley,Syrah,$60-100
87,Dry Creek Valley,Syrah,$15-30
87,North Coast,Syrah,$30-60
87,Napa Valley,Red Blend,$30-60
92,Green Valley,Sparkling Blend,$30-60
92,Willamette Valley,Pinot Noir,$60-100
92,Willamette Valley,Pinot Noir,$30-60
92,Dundee Hills,Pinot Noir,100-500
92,Arroyo Grande Valley,Sparkling Blend,$30-60
92,Alexander Valley,Zinfandel,$30-60
90,Rutherford,Cabernet Sauvignon,100-500
90,Columbia Valley (WA),Cabernet Sauvignon,$15-30
90,Chehalem Mountains,Pinot Noir,$60-100
90,Yakima Valley,Red Blend,$30-60
90,Santa Ynez Valley,Grenache Blanc,$15-30
90,Santa Ynez Valley,Cabernet Sauvignon,$15-30
90,Sonoma Valley,Syrah,$30-60
90,Red Mountain,Merlot,$30-60
90,Ancient Lakes,Chardonnay,$30-60
90,Oregon,Riesling,<$15
90,Sierra Foothills,Chardonnay,$15-30
90,Rutherford,Cabernet Sauvignon,100-500
90,Mendocino Ridge,Syrah,$30-60
86,Wahluke Slope,Sauvignon Blanc,$15-30
86,Finger Lakes,Gewürztraminer,$15-30
86,Paso Robles,Malbec,$15-30
86,California,Merlot,<$15
86,Columbia Valley (WA),Viognier,$15-30
86,Walla Walla Valley (WA),Syrah,$30-60
86,Finger Lakes,Riesling,$15-30
86,California,Chardonnay,<$15
86,Columbia Valley (WA),Cabernet Franc,$15-30
90,Amador County,Zinfandel,$15-30
90,Edna Valley,Chardonnay,$30-60
90,Santa Barbara County,Syrah,$15-30
90,Oregon,Pinot Gris,<$15
90,Spring Mountain District,Cabernet Sauvignon,100-500
90,Temecula Valley,Cabernet Franc,$30-60
90,Sta. Rita Hills,Pinot Noir,$30-60
90,Chehalem Mountains,Pinot Noir,$30-60
90,Ballard Canyon,Grenache,$30-60
90,Mendocino Ridge,Syrah,$15-30
90,Napa Valley,Merlot,$30-60
90,Oregon,Albariño,$15-30
90,Los Carneros,Syrah,$15-30
90,Napa Valley,Cabernet Sauvignon,$15-30
90,Russian River Valley,Sparkling Blend,$15-30
90,Dry Creek Valley,Petite Sirah,$15-30
90,Yakima Valley,Cabernet Franc,$60-100
90,Sta. Rita Hills,Pinot Noir,$30-60
90,Napa Valley,Viognier,$15-30
90,Santa Maria Valley,Pinot Noir,$15-30
90,Columbia Valley (WA),Bordeaux-style Red Blend,$30-60
90,Temecula Valley,Syrah,$60-100
90,Columbia Valley (WA),Syrah,$30-60
87,Texas High Plains,Roussanne,$15-30
87,Texas,Nero d'Avola,$15-30
87,Texas High Plains,Roussanne,$15-30
87,Willamette Valley,Rosé,$15-30
87,Willamette Valley,Pinot Noir,$15-30
87,Willamette Valley,Pinot Gris,$15-30
87,Shenandoah Valley (CA),Muscat Blanc à Petits Grains,$15-30
87,Amador County,Zinfandel,$15-30
87,Willamette Valley,Chardonnay,$30-60
87,Dundee Hills,Pinot Blanc,$15-30
87,Livermore Valley,Bordeaux-style Red Blend,$30-60
87,Russian River Valley,Pinot Noir,$30-60
87,Rogue Valley,Viognier,$15-30
87,Sonoma County,Chardonnay,$15-30
87,Rutherford,Sangiovese,$60-100
87,Los Carneros,Chardonnay,$30-60
87,Yorkville Highlands,Petit Verdot,$30-60
87,Willamette Valley,Pinot Noir,$30-60
87,Lodi,Cabernet Sauvignon,<$15
87,Russian River Valley,Sauvignon Blanc,$15-30
85,California,Cabernet Sauvignon,$15-30
85,Clarksburg,Viognier,$15-30
85,Alexander Valley,Syrah,$30-60
85,Walla Walla Valley (WA),Red Blend,$15-30
85,California,White Blend,$15-30
85,Suisun Valley,Viognier,$15-30
85,North Coast,White Blend,<$15
85,Anderson Valley,Gewürztraminer,$15-30
88,Oregon,Pinot Gris,$15-30
88,California,Sauvignon Blanc,<$15
88,Dundee Hills,Pinot Gris,$15-30
88,Willamette Valley,Riesling,$15-30
88,Rogue Valley,Cabernet Sauvignon,$15-30
88,Willamette Valley,Pinot Noir,$30-60
88,Eola-Amity Hills,Pinot Noir,$30-60
88,Dundee Hills,Pinot Noir,$60-100
88,Finger Lakes,Pinot Gris,$15-30
88,Paso Robles,Rhône-style Red Blend,$30-60
88,Temecula Valley,Red Blend,$30-60
88,Napa Valley,Bordeaux-style Red Blend,100-500
88,Willamette Valley,Pinot Gris,<$15
88,Happy Canyon of Santa Barbara,Sauvignon Blanc,$30-60
88,Oregon,Pinot Gris,<$15
88,Rogue Valley,Grenache,$30-60
88,Carneros,Chardonnay,$30-60
88,Arroyo Seco,Chardonnay,$15-30
88,Walla Walla Valley (OR),Syrah,$15-30
85,Willamette Valley,Pinot Noir,$15-30
85,Napa Valley,Merlot,$15-30
85,California,Merlot,<$15
85,California,Pinot Grigio,<$15
85,Central Coast,Syrah,$15-30
94,Amador County,Zinfandel,$30-60
94,Sonoma Coast,Pinot Noir,$30-60
94,Willamette Valley,Pinot Noir,$60-100
94,Dundee Hills,Pinot Noir,$60-100
94,Willamette Valley,Pinot Noir,$60-100
94,Carneros,Chardonnay,$30-60
94,Willamette Valley,Chardonnay,$30-60
94,Willamette Valley,Chardonnay,$60-100
94,Ribbon Ridge,Riesling,$30-60
94,Dundee Hills,Riesling,$30-60
94,Walla Walla Valley (OR),Syrah,100-500
94,Diamond Mountain District,Malbec,$60-100
94,Rutherford,Zinfandel,$30-60
94,Willamette Valley,Riesling,$30-60
94,Sonoma Coast,Pinot Noir,$30-60
94,Walla Walla Valley (OR),Syrah,$60-100
94,Napa Valley,Cabernet Franc,$60-100
94,Sonoma Coast,Pinot Noir,$60-100
94,Chehalem Mountains,Pinot Noir,$30-60
94,Eola-Amity Hills,Pinot Noir,$30-60
90,Napa Valley,Cabernet Sauvignon,$15-30
90,Yakima Valley,Viognier,<$15
90,Napa Valley,Chardonnay,$15-30
90,Paso Robles,G-S-M,$30-60
90,Sonoma Coast,Chardonnay,$30-60
90,Yakima Valley,Sauvignon Blanc,<$15
90,Yakima Valley,Cabernet Franc,$30-60
90,Yolo County,Zinfandel,$15-30
90,Central Coast,Rhône-style Red Blend,$30-60
90,Horse Heaven Hills,Sauvignon Blanc,<$15
90,California,Merlot,<$15
90,Paso Robles,Zinfandel,$30-60
84,Seneca Lake,Riesling,$15-30
84,Naches Heights,Pinot Gris,$30-60
84,Naches Heights,Red Blend,$15-30
84,Sonoma Mountain,Pinot Noir,$30-60
84,Napa Valley,Cabernet Sauvignon,$60-100
84,Napa Valley,Red Blend,$15-30
84,Napa Valley,Cabernet Sauvignon,$60-100
84,Hudson River Region,Chardonnay,$15-30
84,Lodi,Chardonnay,<$15
84,Mendocino,Zinfandel,$15-30
83,Napa Valley,Meritage,<$15
83,Columbia Valley (WA),Merlot,$15-30
83,New York,White Blend,$30-60
87,Columbia Valley (WA),Red Blend,$15-30
87,Mendocino,Petite Sirah,$30-60
86,Napa-Sonoma,Cabernet Sauvignon,$15-30
86,Sonoma Valley,Merlot,$15-30
86,Columbia Valley (WA),Bordeaux-style Red Blend,$15-30
86,Sonoma Coast,Pinot Noir,$30-60
86,Russian River Valley,Pinot Noir,$30-60
88,Anderson Valley,Pinot Gris,$15-30
88,California,Chardonnay,<$15
87,Willamette Valley,Chardonnay,$30-60
87,Texas,Tempranillo,$15-30
87,California,Zinfandel,<$15
87,Willamette Valley,Chardonnay,$30-60
93,Anderson Valley,Sparkling Blend,$15-30
93,Alexander Valley,Cabernet Sauvignon,$30-60
93,Yountville,Bordeaux-style Red Blend,100-500
93,Santa Maria Valley,Pinot Noir,$30-60
93,Sta. Rita Hills,Pinot Noir,$30-60
93,Bennett Valley,Sauvignon Blanc,$30-60
93,Paso Robles Willow Creek District,Syrah,$30-60
93,Santa Barbara County,Syrah,$60-100
93,Sta. Rita Hills,Pinot Noir,$30-60
93,Ballard Canyon,Syrah,$30-60
93,Green Valley,Sparkling Blend,$60-100
93,Suisun Valley,Charbono,$30-60
93,Russian River Valley,Chardonnay,$30-60
93,Santa Maria Valley,Pinot Noir,$30-60
93,Sta. Rita Hills,Pinot Noir,$30-60
93,Sta. Rita Hills,Pinot Noir,$60-100
93,Monterey,Red Blend,$30-60
92,Alexander Valley,Tempranillo,$30-60
92,Russian River Valley,Pinot Noir,$30-60
92,Santa Maria Valley,Pinot Noir,$30-60
92,Central Coast,Red Blend,$30-60
92,Santa Maria Valley,Chardonnay,$30-60
88,Columbia Valley (WA),Chardonnay,<$15
88,Napa Valley,Bordeaux-style Red Blend,$30-60
88,Rutherford,Cabernet Sauvignon,$30-60
88,Columbia Valley (WA),Red Blend,$30-60
88,Columbia Valley (WA),Red Blend,$15-30
88,Washington,Chardonnay,<$15
88,Columbia Valley (WA),Chardonnay,<$15
88,Napa Valley,Cabernet Sauvignon,$30-60
85,Contra Costa County,Viognier,$15-30
85,Cayuga Lake,Riesling,<$15
85,Russian River Valley,Pinot Noir,$30-60
85,Michigan,Riesling,$15-30
85,California,Cabernet Franc,$15-30
85,Napa Valley,Cabernet Sauvignon,$30-60
85,Lodi,Petite Sirah,$15-30
84,Russian River Valley,Chardonnay,<$15
84,Napa Valley,Merlot,<$15
84,Sonoma Valley,Cabernet Sauvignon,$60-100
84,Sonoma Valley,Sauvignon Blanc,$15-30
84,New York,Riesling,<$15
89,Sonoma County,Cabernet Sauvignon,$30-60
89,Stags Leap District,Cabernet Sauvignon,$60-100
89,Santa Barbara County,Chardonnay,$15-30
89,Fair Play,Syrah,$30-60
89,Santa Barbara County,Chardonnay,$30-60
89,Dundee Hills,Pinot Noir,$30-60
89,Sonoma Valley,Zinfandel,$30-60
89,Paso Robles,Bordeaux-style Red Blend,$30-60
89,Alexander Valley,Chardonnay,$30-60
89,Napa Valley,Cabernet Sauvignon,$30-60
90,Russian River Valley,Petite Sirah,$30-60
90,Russian River Valley,Cabernet Sauvignon,$60-100
90,Sta. Rita Hills,Syrah,$30-60
90,Paso Robles,Syrah,$30-60
90,Sta. Rita Hills,Pinot Noir,$30-60
90,Russian River Valley,Syrah,$30-60
90,Finger Lakes,Sauvignon Blanc,$15-30
90,Finger Lakes,Rosé,$15-30
90,Russian River Valley,G-S-M,$30-60
90,Sonoma Valley,Cabernet Sauvignon,$30-60
90,Paso Robles,Rhône-style Red Blend,$30-60
90,Rogue Valley,Viognier,$15-30
86,Washington,Riesling,<$15
86,California,Red Blend,$15-30
86,Columbia Valley (WA),Red Blend,$30-60
86,Russian River Valley,Pinot Noir,$15-30
86,North Coast,Petite Sirah,$15-30
86,Paso Robles,Rhône-style White Blend,$15-30
87,Sta. Rita Hills,Chardonnay,$15-30
86,Mendocino County,Rosé,<$15
86,Pennsylvania,Syrah,$15-30
86,El Dorado,Zinfandel,$15-30
86,Sierra Foothills,Mourvèdre,$15-30
86,Amador County,Syrah,$15-30
86,Columbia Valley (WA),Cabernet Sauvignon,$15-30
86,Sierra Foothills,Rosé,<$15
86,Shenandoah Valley (CA),Viognier,$15-30
86,Lodi,Verdelho,<$15
88,Southern Oregon,Malbec,$30-60
88,Russian River Valley,Pinot Noir,$30-60
88,Santa Cruz Mountains,Pinot Noir,$30-60
88,Carneros,Pinot Meunier,$30-60
88,Old Mission Peninsula,Cabernet Franc,$30-60
88,Old Mission Peninsula,Cabernet Franc,$15-30
88,Dry Creek Valley,White Blend,$15-30
88,Dunnigan Hills,Chardonnay,<$15
88,Mount Veeder,Cabernet Sauvignon,$60-100
88,California,Pinot Noir,$15-30
93,Dry Creek Valley,Zinfandel,$30-60
93,Columbia Valley (WA),Cabernet Sauvignon,$30-60
93,Red Mountain,Bordeaux-style Red Blend,$30-60
93,Columbia Valley (WA),Viognier,$15-30
93,Napa Valley,Cabernet Sauvignon,$60-100
92,Columbia Valley (WA),Cabernet Sauvignon,$30-60
92,Coombsville,Cabernet Sauvignon,$60-100
92,Horse Heaven Hills,Red Blend,$30-60
92,Napa Valley,Bordeaux-style Red Blend,100-500
92,Columbia Valley (WA),Viognier,$15-30
92,Columbia Valley (WA),Cabernet Sauvignon-Sangiovese,$30-60
92,Columbia Valley (WA),Cabernet Sauvignon,$30-60
92,Red Mountain,Merlot,$30-60
92,Alexander Valley,Cabernet Sauvignon,$60-100
94,Paso Robles,Rhône-style Red Blend,$60-100
94,Napa Valley,Cabernet Sauvignon,100-500
94,Sonoma County,White Blend,$15-30
94,Paso Robles,Rhône-style Red Blend,$60-100
94,Rutherford,Cabernet Sauvignon,100-500
94,Happy Canyon of Santa Barbara,Cabernet Sauvignon,$60-100
93,St. Helena,Sauvignon Blanc,$30-60
93,Arroyo Seco,Syrah,$30-60
93,Napa Valley,Cabernet Sauvignon,100-500
93,Santa Maria Valley,Pinot Noir,$30-60
93,Napa Valley,Cabernet Sauvignon,$30-60
93,St. Helena,Cabernet Sauvignon,100-500
93,Edna Valley,Pinot Noir,$60-100
93,Napa Valley,Cabernet Sauvignon,$60-100
86,Columbia Valley (WA),Cabernet Sauvignon,$15-30
85,California,Riesling,<$15
85,Napa Valley,Merlot,$60-100
85,Carneros,Pinot Noir,$15-30
85,Paso Robles,Port,$30-60
85,Mount Veeder,Bordeaux-style Red Blend,$60-100
92,Santa Lucia Highlands,Pinot Noir,$30-60
92,Russian River Valley,Pinot Noir,$60-100
92,Eola-Amity Hills,Pinot Noir,$30-60
92,Santa Ynez Valley,Merlot,$30-60
92,Chehalem Mountains,Pinot Noir,$30-60
92,Napa Valley,Cabernet Sauvignon,$60-100
92,Willamette Valley,Pinot Noir,$30-60
92,Livermore Valley,Cabernet Sauvignon,$60-100
86,California,Chardonnay,<$15
